date,tripduration,start_station_name_old,start_station_id,starttime,end_station_name_old,end_station_id,stoptime,birth_year,age,per_day,hour,week_day,weekend,holiday,start_station_name,end_station_name,lat_start,lon_start,lat_end,lon_end,distance
2022-01-01,3065.0,14 - Museu da Casa Brasileira,14.0,2022-01-01 15:07:59,141 - Praça Luis Carlos Paraná,141.0,2022-01-01 15:59:04,1995-01-01 00:00:00,27.0,2022-01-01,15,5,True,False,Museu da Casa Brasileira,Praça Luis Carlos Paraná,-23.5808802329648,-46.6847086015679,-23.5827091295632,-46.6838868603995,0.246
2022-01-01,367.0,319 - Metrô Moema,319.0,2022-01-01 09:59:48,127 - Jacutinga,127.0,2022-01-01 10:05:55,1980-01-01 00:00:00,42.0,2022-01-01,9,5,True,False,Metrô Moema,Jacutinga,-23.6037621017182,-46.6616847898962,-23.600369824627,-46.668921020279,1.162
2022-01-01,900.0,14 - Museu da Casa Brasileira,14.0,2022-01-01 07:27:47,69 - Oscar Freire,69.0,2022-01-01 07:42:47,1981-01-01 00:00:00,41.0,2022-01-01,7,5,True,False,Museu da Casa Brasileira,Oscar Freire,-23.5808802329648,-46.6847086015679,-23.5657634935473,-46.6660490874622,2.738
2022-01-01,879.0,1 - Largo da Batata,1.0,2022-01-01 12:21:14,1 - Largo da Batata,1.0,2022-01-01 12:35:53,1971-01-01 00:00:00,51.0,2022-01-01,12,5,True,False,Largo da Batata,Largo da Batata,-23.5668309564147,-46.6937412022694,-23.5668309564147,-46.6937412022694,0.0
2022-01-01,2181.0,87 - Parque Prefeito Mário Covas,87.0,2022-01-01 08:13:17,312 - Parque da Bicicletas,312.0,2022-01-01 08:49:38,1966-01-01 00:00:00,56.0,2022-01-01,8,5,True,False,Parque Prefeito Mário Covas,Parque das Bicicletas,-23.56004,-46.65819,-23.6005561179321,-46.6577541150754,6.141
2022-01-01,2555.0,87 - Parque Prefeito Mário Covas,87.0,2022-01-01 10:56:05,87 - Parque Prefeito Mário Covas,87.0,2022-01-01 11:38:40,1994-01-01 00:00:00,28.0,2022-01-01,10,5,True,False,Parque Prefeito Mário Covas,Parque Prefeito Mário Covas,-23.56004,-46.65819,-23.56004,-46.65819,0.0
2022-01-01,63.0,87 - Parque Prefeito Mário Covas,87.0,2022-01-01 18:55:50,87 - Parque Prefeito Mário Covas,87.0,2022-01-01 18:56:53,1992-01-01 00:00:00,30.0,2022-01-01,18,5,True,False,Parque Prefeito Mário Covas,Parque Prefeito Mário Covas,-23.56004,-46.65819,-23.56004,-46.65819,0.0
2022-01-01,3469.0,72 - Queluz,72.0,2022-01-01 13:31:58,317 - R. Leonardo Nunes,317.0,2022-01-01 14:29:47,1998-01-01 00:00:00,24.0,2022-01-01,13,5,True,False,Queluz,R. Leonardo Nunes,-23.5727335213451,-46.6586038186061,-23.5987326403293,-46.6391030550847,4.736
2022-01-01,918.0,44 - Ibirapuera Portão 09,44.0,2022-01-01 14:52:27,207 - Bela Cintra,207.0,2022-01-01 15:07:45,1981-01-01 00:00:00,41.0,2022-01-01,14,5,True,False,Pq. Ibirapuera portão 9,Bela Cintra,-23.5788395,-46.6600902,-23.56226,-46.66805,2.692
2022-01-01,6810.0,44 - Ibirapuera Portão 09,44.0,2022-01-01 13:47:45,77 - Alameda J. Eugênio de Lima,77.0,2022-01-01 15:41:15,1961-01-01 00:00:00,61.0,2022-01-01,13,5,True,False,Pq. Ibirapuera portão 9,Alameda J. Eugênio de Lima,-23.5788395,-46.6600902,-23.570389641893,-46.6553101677443,1.441
2022-01-01,2381.0,1 - Largo da Batata,1.0,2022-01-01 12:49:21,234 - Praça Roquete Pinto,234.0,2022-01-01 13:29:02,1986-01-01 00:00:00,36.0,2022-01-01,12,5,True,False,Largo da Batata,Praça Roquete Pinto,-23.5668309564147,-46.6937412022694,-23.5587771000465,-46.699386022988,1.617
2022-01-01,700.0,95 - R. Manoel da Nóbrega,95.0,2022-01-01 21:07:00,194 - jaguaribe,194.0,2022-01-01 21:18:40,1980-01-01 00:00:00,42.0,2022-01-01,21,5,True,False,R. Manoel da Nóbrega ,Jaguaribe,-23.5681587220928,-46.6489777696966,-23.5415334086621,-46.6555547195509,4.365
2022-01-01,901.0,92 - Metrô Brigadeiro,92.0,2022-01-01 17:27:00,86 - Shopping Center 3,86.0,2022-01-01 17:42:01,1992-01-01 00:00:00,30.0,2022-01-01,17,5,True,False,Metrô Brigadeiro,Shopping Center 3,-23.5681059122191,-46.6486743523506,-23.5584250062578,-46.659609825984,2.353
2022-01-01,1777.0,87 - Parque Prefeito Mário Covas,87.0,2022-01-01 14:12:58,166 - Metrô Higienópolis Mackenzie,166.0,2022-01-01 14:42:35,1960-01-01 00:00:00,62.0,2022-01-01,14,5,True,False,Parque Prefeito Mário Covas,,-23.56004,-46.65819,,,
2022-01-01,2171.0,92 - Metrô Brigadeiro,92.0,2022-01-01 18:52:18,92 - Metrô Brigadeiro,92.0,2022-01-01 19:28:29,1998-01-01 00:00:00,24.0,2022-01-01,18,5,True,False,Metrô Brigadeiro,Metrô Brigadeiro,-23.5681059122191,-46.6486743523506,-23.5681059122191,-46.6486743523506,0.0
2022-01-01,889.0,85 - Praça do Ciclista,85.0,2022-01-01 11:00:46,187 - Parque Buenos Aires,187.0,2022-01-01 11:15:35,1998-01-01 00:00:00,24.0,2022-01-01,11,5,True,False,Praça do Ciclista,Parque Buenos Aires,-23.5559579861242,-46.6626658808429,-23.5456065509866,-46.6570562938632,1.555
2022-01-01,6498.0,85 - Praça do Ciclista,85.0,2022-01-01 19:41:18,201 - Metrô Sumaré,201.0,2022-01-01 21:29:36,1993-01-01 00:00:00,29.0,2022-01-01,19,5,True,False,Praça do Ciclista,Metrô Sumaré,-23.5559579861242,-46.6626658808429,-23.5515095992215,-46.6781700464487,2.063
2022-01-01,2708.0,90 - Alameda Campinas,90.0,2022-01-01 13:37:32,194 - jaguaribe,194.0,2022-01-01 14:22:40,1979-01-01 00:00:00,43.0,2022-01-01,13,5,True,False,Alameda Campinas,Jaguaribe,-23.5645728749771,-46.6523898406747,-23.5415334086621,-46.6555547195509,3.576
2022-01-01,1809.0,95 - R. Manoel da Nóbrega,95.0,2022-01-01 11:08:21,135 - Ibirapuera Portão 10,135.0,2022-01-01 11:38:30,1994-01-01 00:00:00,28.0,2022-01-01,11,5,True,False,R. Manoel da Nóbrega ,Ibirapuera Portão 10,-23.5681587220928,-46.6489777696966,-23.5820532321531,-46.6573748820272,2.513
