address,capacity,lat,lon,name,project
14 - Pereira da Silva,19,-22.9338553,-43.1858676,14 - Pereira da Silva,BikeRio
15 - Alegrete,15,-22.9386697,-43.1937608,15 - Alegrete,BikeRio
16 - Praça São Judas Tadeu,19,-22.9405247,-43.1981781,16 - Praça São Judas Tadeu,BikeRio
17 - Oswaldo Cruz,19,-22.9383503,-43.1735918,17 - Oswaldo Cruz,BikeRio
18 - Praça Nicarágua,23,-22.942217,-43.176924,18 - Praça Nicarágua,BikeRio
19 - Guilhermina Guinle,11,-22.949601,-43.1886287,19 - Guilhermina Guinle,BikeRio
20 - Cobal,23,-22.9537484,-43.1970587,20 - Cobal,BikeRio
21 - Real Grandeza,15,-22.9540547,-43.1930877,21 - Real Grandeza,BikeRio
22 - General Polidoro,15,-22.9572257,-43.1889413,22 - General Polidoro,BikeRio
23 - Teresa Guimarães,15,-22.9554978,-43.1850605,23 - Teresa Guimarães,BikeRio
24 - Lauro Müller,23,-22.9562215,-43.1771829,24 - Lauro Müller,BikeRio
25 - UFRJ Praia Vermelha,15,-22.9527534,-43.1762743,25 - UFRJ Praia Vermelha,BikeRio
26 - Iate Clube,23,-22.9534017,-43.1731411,26 - Iate Clube,BikeRio
27 - Pedra do Leme,15,-22.962385,-43.165493,27 - Pedra do Leme,BikeRio
28 - Praça Demétrio Ribeiro,23,-22.9621894,-43.1754096,28 - Praça Demétrio Ribeiro,BikeRio
29 - Copacabana Palace,23,-22.9672277,-43.1777902,29 - Copacabana Palace,BikeRio
30 - Santa Clara 98,11,-22.9707973,-43.1878196,30 - Santa Clara 98,BikeRio
31 - Santa Clara,23,-22.972478,-43.186424,31 - Santa Clara,BikeRio
32 - Domingos Ferreira,23,-22.975967,-43.188677,32 - Domingos Ferreira,BikeRio
33 - Miguel Lemos,11,-22.9781402,-43.1888416,33 - Miguel Lemos,BikeRio
34 - Conselheiro Lafaiete,23,-22.9863295,-43.1921151,34 - Conselheiro Lafaiete,BikeRio
35 - Pedra do Arpoador,23,-22.9888297,-43.1922299,35 - Pedra do Arpoador,BikeRio
36 - Joaquim Nabuco,15,-22.9873182,-43.1960897,36 - Joaquim Nabuco,BikeRio
