i_start,j_start,i_end,j_end,trip counts,origin,destination
13,7,11,5,255.599233,POINT (-46.64553479509266 -23.581988759758),POINT (-46.68765633950881 -23.62499860135904)
13,7,12,5,341.613252,POINT (-46.65024414851923 -23.55428824454413),POINT (-46.69306540758826 -23.60052241625243)
13,7,12,6,38.995647,POINT (-46.65103411033595 -23.58143374756477),POINT (-46.6729842874087 -23.59486150332894)
13,7,12,8,294.05590400000006,POINT (-46.65322190789367 -23.5636751363073),POINT (-46.62153957286191 -23.5891041046542)
13,7,13,5,262.560346,POINT (-46.63753562433553 -23.56268531479801),POINT (-46.67877509324921 -23.58561537828966)
13,7,13,6,1084.968063,POINT (-29.41388541791987 -14.86326749663794),POINT (-29.42933133460492 -14.85789613266105)
13,7,13,7,1862.4855179999995,POINT (-32.8131649645911 -16.58105479646442),POINT (-32.81316764002589 -16.58105348773002)
13,7,13,8,93.612326,POINT (-46.64172014738951 -23.55571496370645),POINT (-46.63554760716129 -23.56510829907615)
13,7,13,11,358.72779,POINT (-46.64138577093836 -23.57846570869952),POINT (-46.57814751263184 -23.55588560348559)
13,7,14,5,48.563755,POINT (-46.65415273200545 -23.56290669954145),POINT (-46.67957736099456 -23.54701189867229)
13,7,14,6,447.317738,POINT (-43.80349683422002 -22.1169786368744),POINT (-43.80969151424042 -22.10393391549901)
13,7,14,7,374.13714,POINT (-39.98648394970969 -20.20949317107496),POINT (-39.99336133916774 -20.16896074781188)
13,7,14,8,127.77613500000002,POINT (-46.64399022834262 -23.56338475229555),POINT (-46.63620393055367 -23.5484946987676)
13,7,14,9,88.420722,POINT (-46.65428116699767 -23.55829991910886),POINT (-46.61371875984725 -23.52720124303279)
13,8,12,9,71.885533,POINT (-46.63600580146606 -23.57994923539095),POINT (-46.61363993415856 -23.60253318458076)
13,8,13,4,226.236403,POINT (-46.62110605963357 -23.57215875488987),POINT (-46.7123647539101 -23.56470539985153)
13,8,13,7,93.612326,POINT (-46.63554760716129 -23.56510829907615),POINT (-46.64172014738951 -23.55571496370645)
13,8,13,8,213.638976,POINT (-46.63578639706171 -23.57489459678557),POINT (-46.63578639706171 -23.57489459678557)
13,8,13,9,77.090777,POINT (-46.61918833868285 -23.56357285100155),POINT (-46.60305267077708 -23.57478424106709)
13,8,14,7,159.931645,POINT (-46.62915653720453 -23.56956414189835),POINT (-46.64766016182939 -23.53087308950123)
13,8,14,8,542.6941609999999,POINT (-46.62958277261594 -23.55726039918813),POINT (-46.62984935177141 -23.54869688142466)
13,8,14,9,433.446555,POINT (-46.62349468876175 -23.55846192431391),POINT (-46.60464535693914 -23.54782116411266)
13,9,12,7,298.2383,POINT (-46.60345902892846 -23.57758849083168),POINT (-46.63780715334754 -23.60982034082623)
13,9,12,8,160.76378699999998,POINT (-46.60305266611677 -23.57478423870961),POINT (-46.61967478415931 -23.58964732284048)
13,9,12,9,77.090777,POINT (-46.60551254099482 -23.5756528489326),POINT (-46.6003641054055 -23.60109932976904)
13,9,12,10,257.770412,POINT (-46.60167153223946 -23.56753806407957),POINT (-46.5917947030509 -23.59582338700853)
13,9,13,8,77.090777,POINT (-46.60305267077708 -23.57478424106709),POINT (-46.61918833868285 -23.56357285100155)
13,9,13,9,1863.9383579999999,POINT (-43.75668725218679 -22.1332025630384),POINT (-43.75668725218677 -22.1332025630384)
13,9,13,10,189.83138500000004,POINT (-46.59943140889338 -23.55972275461261),POINT (-46.58092949103715 -23.56652229489319)
