i,j,geometry
6,17,"POLYGON ((-46.4468 -23.8139, -46.4468 -23.7814, -46.46580000000001 -23.7814, -46.46580000000001 -23.8139, -46.4468 -23.8139))"
6,18,"POLYGON ((-46.4278 -23.8139, -46.4278 -23.7814, -46.4468 -23.7814, -46.4468 -23.8139, -46.4278 -23.8139))"
6,19,"POLYGON ((-46.40880000000001 -23.8139, -46.40880000000001 -23.7814, -46.4278 -23.7814, -46.4278 -23.8139, -46.40880000000001 -23.8139))"
7,0,"POLYGON ((-46.7698 -23.7814, -46.7698 -23.7489, -46.7888 -23.7489, -46.7888 -23.7814, -46.7698 -23.7814))"
7,1,"POLYGON ((-46.75080000000001 -23.7814, -46.75080000000001 -23.7489, -46.7698 -23.7489, -46.7698 -23.7814, -46.75080000000001 -23.7814))"
7,2,"POLYGON ((-46.7318 -23.7814, -46.7318 -23.7489, -46.75080000000001 -23.7489, -46.75080000000001 -23.7814, -46.7318 -23.7814))"
7,3,"POLYGON ((-46.7128 -23.7814, -46.7128 -23.7489, -46.7318 -23.7489, -46.7318 -23.7814, -46.7128 -23.7814))"
7,4,"POLYGON ((-46.6938 -23.7814, -46.6938 -23.7489, -46.7128 -23.7489, -46.7128 -23.7814, -46.6938 -23.7814))"
7,5,"POLYGON ((-46.6748 -23.7814, -46.6748 -23.7489, -46.6938 -23.7489, -46.6938 -23.7814, -46.6748 -23.7814))"
7,6,"POLYGON ((-46.65580000000001 -23.7814, -46.65580000000001 -23.7489, -46.6748 -23.7489, -46.6748 -23.7814, -46.65580000000001 -23.7814))"
7,7,"POLYGON ((-46.6368 -23.7814, -46.6368 -23.7489, -46.65580000000001 -23.7489, -46.65580000000001 -23.7814, -46.6368 -23.7814))"
7,8,"POLYGON ((-46.6178 -23.7814, -46.6178 -23.7489, -46.6368 -23.7489, -46.6368 -23.7814, -46.6178 -23.7814))"
7,9,"POLYGON ((-46.5988 -23.7814, -46.5988 -23.7489, -46.6178 -23.7489, -46.6178 -23.7814, -46.5988 -23.7814))"
7,10,"POLYGON ((-46.57980000000001 -23.7814, -46.57980000000001 -23.7489, -46.5988 -23.7489, -46.5988 -23.7814, -46.57980000000001 -23.7814))"
7,11,"POLYGON ((-46.56080000000001 -23.7814, -46.56080000000001 -23.7489, -46.57980000000001 -23.7489, -46.57980000000001 -23.7814, -46.56080000000001 -23.7814))"
7,12,"POLYGON ((-46.5418 -23.7814, -46.5418 -23.7489, -46.56080000000001 -23.7489, -46.56080000000001 -23.7814, -46.5418 -23.7814))"
7,13,"POLYGON ((-46.5228 -23.7814, -46.5228 -23.7489, -46.5418 -23.7489, -46.5418 -23.7814, -46.5228 -23.7814))"
7,14,"POLYGON ((-46.50380000000001 -23.7814, -46.50380000000001 -23.7489, -46.5228 -23.7489, -46.5228 -23.7814, -46.50380000000001 -23.7814))"
7,15,"POLYGON ((-46.48480000000001 -23.7814, -46.48480000000001 -23.7489, -46.50380000000001 -23.7489, -46.50380000000001 -23.7814, -46.48480000000001 -23.7814))"
7,16,"POLYGON ((-46.46580000000001 -23.7814, -46.46580000000001 -23.7489, -46.48480000000001 -23.7489, -46.48480000000001 -23.7814, -46.46580000000001 -23.7814))"
7,17,"POLYGON ((-46.4468 -23.7814, -46.4468 -23.7489, -46.46580000000001 -23.7489, -46.46580000000001 -23.7814, -46.4468 -23.7814))"
7,18,"POLYGON ((-46.4278 -23.7814, -46.4278 -23.7489, -46.4468 -23.7489, -46.4468 -23.7814, -46.4278 -23.7814))"
7,19,"POLYGON ((-46.40880000000001 -23.7814, -46.40880000000001 -23.7489, -46.4278 -23.7489, -46.4278 -23.7814, -46.40880000000001 -23.7814))"
8,0,"POLYGON ((-46.7698 -23.7489, -46.7698 -23.7164, -46.7888 -23.7164, -46.7888 -23.7489, -46.7698 -23.7489))"
8,1,"POLYGON ((-46.75080000000001 -23.7489, -46.75080000000001 -23.7164, -46.7698 -23.7164, -46.7698 -23.7489, -46.75080000000001 -23.7489))"
8,2,"POLYGON ((-46.7318 -23.7489, -46.7318 -23.7164, -46.75080000000001 -23.7164, -46.75080000000001 -23.7489, -46.7318 -23.7489))"
8,3,"POLYGON ((-46.7128 -23.7489, -46.7128 -23.7164, -46.7318 -23.7164, -46.7318 -23.7489, -46.7128 -23.7489))"
8,4,"POLYGON ((-46.6938 -23.7489, -46.6938 -23.7164, -46.7128 -23.7164, -46.7128 -23.7489, -46.6938 -23.7489))"
8,5,"POLYGON ((-46.6748 -23.7489, -46.6748 -23.7164, -46.6938 -23.7164, -46.6938 -23.7489, -46.6748 -23.7489))"
8,6,"POLYGON ((-46.65580000000001 -23.7489, -46.65580000000001 -23.7164, -46.6748 -23.7164, -46.6748 -23.7489, -46.65580000000001 -23.7489))"
8,7,"POLYGON ((-46.6368 -23.7489, -46.6368 -23.7164, -46.65580000000001 -23.7164, -46.65580000000001 -23.7489, -46.6368 -23.7489))"
8,8,"POLYGON ((-46.6178 -23.7489, -46.6178 -23.7164, -46.6368 -23.7164, -46.6368 -23.7489, -46.6178 -23.7489))"
8,9,"POLYGON ((-46.5988 -23.7489, -46.5988 -23.7164, -46.6178 -23.7164, -46.6178 -23.7489, -46.5988 -23.7489))"
8,10,"POLYGON ((-46.57980000000001 -23.7489, -46.57980000000001 -23.7164, -46.5988 -23.7164, -46.5988 -23.7489, -46.57980000000001 -23.7489))"
8,11,"POLYGON ((-46.56080000000001 -23.7489, -46.56080000000001 -23.7164, -46.57980000000001 -23.7164, -46.57980000000001 -23.7489, -46.56080000000001 -23.7489))"
8,12,"POLYGON ((-46.5418 -23.7489, -46.5418 -23.7164, -46.56080000000001 -23.7164, -46.56080000000001 -23.7489, -46.5418 -23.7489))"
8,13,"POLYGON ((-46.5228 -23.7489, -46.5228 -23.7164, -46.5418 -23.7164, -46.5418 -23.7489, -46.5228 -23.7489))"
8,14,"POLYGON ((-46.50380000000001 -23.7489, -46.50380000000001 -23.7164, -46.5228 -23.7164, -46.5228 -23.7489, -46.50380000000001 -23.7489))"
