ZONA_O,ZONA_D,trip counts
401,442,235.738621
402,401,163.446192
402,403,1314.4551760000002
403,401,801.088128
403,402,1314.4551760000002
404,401,638.710362
404,406,984.804971
404,407,706.49769
404,410,68.239789
405,407,911.616321
406,404,984.804971
406,408,351.860973
407,404,706.49769
407,405,911.616321
408,406,351.860973
410,404,68.239789
410,416,294.966537
411,412,103.982336
412,411,234.917699
414,415,141.15783299999998
415,414,94.105222
416,410,294.966537
417,425,422.039267
419,420,39.040178
419,447,58.624799
420,419,39.040178
420,425,422.039267
422,426,110.224473
422,432,1022.83407
422,433,740.297128
425,417,422.039267
425,420,422.039267
426,422,110.224473
426,448,439.438816
428,259,314.077631
430,427,207.910447
431,433,1545.652664
432,422,1022.83407
433,422,740.297128
433,431,1545.652664
440,441,339.24625
441,440,339.24625
442,401,235.738621
446,447,380.524641
446,457,821.015584
447,419,58.624799
447,446,380.524641
448,426,439.438816
452,454,835.873992
454,452,835.873992
454,457,572.44216
454,458,1132.46045
455,278,1023.498524
457,446,821.015584
457,454,572.44216
458,454,1132.46045
460,325,488.487492
461,326,416.053521
461,342,636.2918530000002
462,99,631.551977
465,309,828.7815
465,315,504.081927
465,466,983.402672
466,465,983.402672
466,467,159.209922
467,470,159.209922
468,315,759.2476849999997
468,465,828.7815
470,466,159.209922
472,473,261.657839
473,472,261.657839
476,482,223.539579
477,516,516.9220740000002
480,482,223.539579
482,476,223.539579
482,480,223.539579
485,495,378.289292
487,498,195.938496
490,497,39.072898
491,492,272.413783
492,495,272.413783
492,496,1162.530162
493,495,117.357367
495,485,378.289292
495,491,272.413783
495,493,117.357367
496,492,1162.530162
497,490,39.072898
498,487,195.938496
498,501,483.248368
499,502,482.453433
501,498,483.248368
502,499,482.453433
508,511,611.9126259999998
511,508,611.9126259999998
513,515,92.372888
514,515,488.208356
515,513,92.372888
